Date,Category,Amount,Description
2025-04-13,Groceries,42.92,Vegetables
2025-04-13,Groceries,67.98,Bread
2025-02-25,Utilities,53.65,Gas bill
2025-03-24,Food,16.05,Coffee
2025-02-28,Transport,36.58,Bus fare
2025-03-10,Transport,80.06,Train ticket
2025-03-08,Groceries,29.24,Bread
2025-03-22,Food,24.38,Snack
2025-03-08,Transport,48.56,Bike rental
2025-03-30,Transport,35.49,Bike rental
2025-03-10,Transport,75.85,Bus fare
2025-02-24,Groceries,54.25,Fruits
2025-03-23,Utilities,55.92,Water bill
2025-03-14,Groceries,56.42,Fruits
2025-02-25,Transport,73.15,Bus fare
2025-03-19,Entertainment,7.81,Spotify
2025-03-08,Entertainment,20.54,Game
2025-03-15,Food,46.43,Sushi
2025-03-26,Utilities,96.61,Water bill
2025-03-10,Utilities,38.86,Phone bill
2025-03-24,Transport,93.85,Bus fare
2025-03-24,Transport,35.93,Bike rental
2025-03-05,Groceries,49.46,Supermarket
2025-04-19,Utilities,59.54,Water bill
2025-03-14,Transport,56.39,Train ticket
2025-04-02,Groceries,32.84,Vegetables
2025-03-24,Food,51.29,Sushi
2025-03-08,Utilities,65.26,Electricity bill
2025-03-09,Utilities,61.02,Electricity bill
2025-03-25,Utilities,15.63,Gas bill
2025-03-28,Groceries,41.34,Fruits
2025-03-14,Groceries,31.25,Meat
2025-04-11,Food,86.71,Coffee
2025-03-24,Utilities,7.05,Internet
2025-02-25,Groceries,74.75,Bread
2025-04-08,Food,96.64,Sushi
2025-03-24,Entertainment,76.77,Movie
2025-03-07,Transport,51.49,Train ticket
2025-03-05,Entertainment,47.22,Netflix
2025-04-20,Entertainment,29.81,Game
2025-03-09,Groceries,96.42,Bread
2025-02-23,Groceries,94.03,Meat
2025-03-29,Groceries,62.92,Bread
2025-03-02,Food,30.26,Sushi
2025-03-05,Transport,31.8,Uber
2025-03-01,Groceries,70.13,Vegetables
2025-04-05,Groceries,89.77,Bread
2025-04-07,Entertainment,27.69,Netflix
2025-04-06,Groceries,51.61,Bread
2025-03-04,Entertainment,82.55,Game
2025-03-26,Food,12.76,Sushi
2025-03-01,Entertainment,96.24,Spotify
2025-03-30,Utilities,67.55,Gas bill
2025-03-27,Utilities,45.21,Electricity bill
2025-03-13,Food,14.3,Snack
2025-03-09,Groceries,55.73,Vegetables
2025-04-09,Transport,84.8,Gas
2025-03-17,Utilities,26.62,Internet
2025-03-04,Transport,72.31,Train ticket
2025-02-23,Transport,84.08,Train ticket
